Day,Cash on Hand
0,3500000
1,3487400
2,3217820
3,1480152
4,158969
5,480700
6,267314
7,521722
8,114789
9,236429
10,275515
11,1021083
12,1036348
13,3741704
14,3605342
15,2811997
16,2944560
17,2548490
18,2076079
19,2167080
20,2161523
21,2049524
22,4873044
23,4946486
24,5294164
25,5228572
26,5560967
27,7877669
28,6687342
29,6685174
30,6927871
31,6155270
32,5965247
33,6037116
34,6160182
35,6447975
36,6756759
37,9046286
38,10848739
39,11950804
40,11243752
41,10840412
42,10106053
43,10493738
44,10320676
45,10537337
46,10979474
47,11762062
48,11861442
49,11484611
50,11626065
51,11869776
52,11999281
53,11969634
54,12050861
55,12483651
56,12944078
57,13371729
58,13720218
59,14381673
60,14605076
61,14716602
62,14806618
63,15542780
64,15769313
65,15607032
66,15925544
67,16089398
68,16321984
69,16200949
70,14766134
71,14961199
72,15440916
73,15538319
74,15675016
75,15725542
76,15909260
77,16273723
78,17420032
79,18158574
80,17585262
81,18125352
82,19379379
83,19725670
84,19854302
85,20893133
86,20648664
87,20089477
88,19611477
89,19800524
90,19986864
