Day,Trading Profit-Retail,Operating expense,Net profit-Retail,Net profit- B2B,Total Net profit
0,0,0,0,0,0
1,0,12600,-12600,0,-12600
2,0,269580,-269580,0,-269580
3,29828,102646,-72818,0,-72818
4,108206,44646,63560,0,63560
5,113791,43673,70118,0,70118
6,116307,43673,72634,0,72634
7,120803,91187,29616,0,29616
8,121123,45160,75963,0,75963
9,128631,43930,84701,0,84701
10,581112,44646,536466,0,536466
11,518297,45294,473003,642086,1115089
12,678277,43582,634695,0,634695
13,645420,112714,532706,0,532706
14,674105,95044,579061,0,579061
15,115230,85542,29688,0,29688
16,109248,70039,39209,0,39209
17,108305,54918,53387,0,53387
18,172505,54884,117621,0,117621
19,177827,58414,119413,0,119413
20,177811,59739,118072,1477425,1595497
21,173578,101741,71837,0,71837
22,171321,64230,107091,0,107091
23,174345,70554,103791,0,103791
24,177447,56745,120702,0,120702
25,177536,58604,118932,1207591,1326523
26,154413,56822,97591,0,97591
27,151120,56214,94906,0,94906
28,147880,105281,42599,0,42599
29,150461,59001,91460,0,91460
30,153692,71371,82321,0,82321
31,157921,59954,97967,0,97967
32,152818,65088,87730,0,87730
33,151598,62089,89509,0,89509
34,149665,70611,79054,0,79054
35,149538,105925,43613,92440,136053
36,155663,62043,93620,96600,190220
37,1046472,76558,969914,0,969914
38,825467,59442,766025,75322,841347
39,647612,61442,586170,73889,660059
40,129140,65164,63976,0,63976
41,144382,63000,81382,0,81382
42,147729,107342,40387,40565,80952
43,149156,61818,87338,0,87338
44,144511,82522,61989,0,61989
45,145367,62532,82835,173500,256335
46,140903,63736,77167,0,77167
47,140629,63405,77224,0,77224
48,82990,66462,16528,0,16528
49,84859,107186,-22327,0,-22327
50,81822,59612,22210,0,22210
51,80122,81296,-1174,0,-1174
52,81316,60416,20900,0,20900
53,84727,64231,20496,0,20496
54,88551,63506,25045,0,25045
55,300788,59972,240816,0,240816
56,368374,114392,253982,0,253982
57,312686,63972,248714,116340,365054
58,322619,78972,243647,40162,283809
59,89943,61778,28165,0,28165
60,98433,67854,30579,0,30579
61,101191,61979,39212,387822,427034
62,94999,65890,29109,29374,58483
63,97422,97946,-524,9803,9279
64,105364,52987,52377,44515,96892
65,105780,71274,34506,0,34506
66,106979,53758,53221,37072,90293
67,176596,51350,125246,0,125246
68,185031,54972,130059,0,130059
69,175199,56886,118313,0,118313
70,175454,98128,77326,48511,125837
71,181825,58768,123057,0,123057
72,176886,71201,105685,0,105685
73,178728,51851,126877,0,126877
74,179395,114780,64615,0,64615
75,177083,49900,127183,192040,319223
76,174149,55968,118181,397358,515539
77,170579,97290,73289,0,73289
78,1042785,125026,917759,0,917759
79,989167,75392,913775,0,913775
80,1006445,81728,924717,0,924717
81,775408,61876,713532,12656,726188
82,725703,66160,659543,0,659543
83,156292,61576,94716,128600,223316
84,148228,112648,35580,0,35580
85,154567,61694,92873,0,92873
86,152876,78694,74182,0,74182
87,147525,85331,62194,0,62194
88,147745,62313,85432,0,85432
89,153534,64367,89167,0,89167
90,153056,62461,90595,0,90595
